-126, -298, 1331
-132, -374, 1410
-39, -252, 1380
-37, -166, 1243
-133, -295, 1392
-125, -379, 1568
-31, -316, 1653
33, -215, 1590
62, -201, 1460
96, -284, 1550
96, -284, 1550
116, -332, 1617
171, -295, 1624
219, -199, 1516
234, -146, 1326
226, -172, 1127
195, -172, 949
190, -198, 850
169, -176, 720
169, -176, 720
149, -96, 594
126, -20, 500
124, 37, 527
125, 80, 548
125, 80, 548
126, 104, 438
54, 96, 371
-18, 78, 362
-54, 109, 426
-54, 109, 426
-76, 110, 419
-152, 73, 367
-265, 64, 319
-337, 33, 296
-337, 33, 296
-405, -22, 325
-397, -6, 259
-394, -114, 175
-395, -223, 132
-446, -306, 128
-479, -326, 192
-469, -343, 258
-469, -343, 258
-457, -383, 256
-468, -409, 339
-504, -395, 428
-499, -365, 575
-461, -357, 685
-410, -326, 684
-373, -334, 699
-369, -419, 785
-301, -407, 1054
-127, -299, 1167
-21, -273, 1210
15, -334, 1278
15, -334, 1278
46, -379, 1310
84, -384, 1400
116, -320, 1449
312, 39, 1311
600, 200, 1998
357, -534, 1989
440, -56, 1850
440, -56, 1850
371, 124, 1697
226, 5, 1575
77, -458, 1523
-,-,-
17, -384, 1176
-23, -299, 872
-3, -347, 945
-38, -540, 1074
-108, -594, 1128
-159, -554, 1124
-144, -575, 1231
-128, -648, 1371
-99, -652, 1463
-99, -652, 1463
-77, -637, 1484
-52, -639, 1476
-7, -670, 1566
31, -623, 1569
81, -526, 1550
120, -423, 1471
157, -360, 1395
223, -322, 1377
304, -207, 1317
304, -207, 1317
351, -24, 1201
332, -106, 1106
339, -258, 1120
346, -244, 1012
317, -125, 827
264, -49, 726
229, 18, 552
229, 18, 552
159, 61, 495
145, 169, 509
151, 263, 507
158, 251, 409
158, 251, 409
104, 191, 367
43, 117, 372
1, 63, 314
1, 63, 314
-18, 10, 301
-23, 26, 252
-85, 12, 223
-85, 12, 223
-153, -2, 246
-230, -46, 260
-308, -31, 248
-339, -59, 245
-363, -135, 395
-363, -135, 395
-332, -170, 486
-365, -180, 459
-399, -223, 480
-415, -291, 554
-402, -318, 547
-436, -422, 681
-416, -454, 812
-349, -455, 898
-299, -414, 881
-300, -470, 1011
-274, -534, 1220
-176, -477, 1295
-93, -379, 1282
-93, -379, 1282
-56, -274, 1417
-58, -299, 1611
-40, -351, 1604
1, -360, 1431
5, -380, 1345
-4, -365, 1517
15, -243, 1715
50, -144, 1708
50, -144, 1708
76, -183, 1597
92, -313, 1371
76, -424, 1188
-,-,-
-285, -616, 882
-356, -710, 1035
-306, -618, 1095
-199, -416, 855
-116, -328, 873
-88, -298, 1242
-38, -284, 1565
112, -171, 1642
134, -142, 1700
96, -194, 1744
96, -194, 1744
94, -283, 1680
92, -349, 1611
77, -352, 1531
58, -333, 1454
34, -321, 1328
1, -323, 1260
1, -323, 1260
0, -258, 1181
0, -182, 1105
10, -143, 1129
30, -145, 1128
65, -109, 1072
65, -109, 979
70, -108, 979
43, -87, 925
50, -26, 779
63, 31, 703
63, 31, 703
57, 55, 648
86, 97, 577
86, 97, 577
103, 77, 493
106, 83, 476
80, 111, 499
80, 111, 499
28, 120, 454
-36, 45, 374
-93, 5, 309
-93, 5, 309
-129, 39, 297
-168, 102, 308
-225, 67, 243
-270, 8, 181
-270, 8, 181
-401, -122, 237
-457, -198, 279
-390, -133, 336
-334, -44, 446
-341, -25, 489
-451, -97, 559
-451, -97, 559
-520, -237, 571
-449, -301, 542
-394, -275, 566
-412, -289, 739
-400, -360, 951
-363, -444, 964
-321, -510, 918
-299, -523, 972
-256, -480, 1108
-192, -416, 1258
-132, -338, 1302
-86, -297, 1293
-35, -245, 1379
-35, -245, 1379
3, -226, 1454
23, -224, 1537
39, -230, 1598
50, -278, 1610
20, -338, 1674
53, -354, 1644
-,-,-
-201, -349, 1146
-211, -484, 1347
-165, -468, 1296
-214, -470, 1204
-254, -529, 1324
-239, -553, 1542
-190, -487, 1637
-155, -425, 1657
-122, -355, 1694
-71, -325, 1554
-55, -318, 1432
-34, -315, 1358
24, -252, 1249
52, -195, 1133
52, -195, 1133
101, -127, 1073
123, -147, 1019
98, -266, 1076
96, -266, 1104
105, -156, 1021
79, -64, 854
43, 12, 828
43, 12, 828
-2, 46, 854
9, 148, 824
9, 148, 824
26, 247, 736
-17, 248, 677
-55, 215, 654
-55, 215, 654
-28, 237, 612
21, 234, 650
40, 266, 571
2, 236, 471
2, 236, 471
-50, 148, 328
-54, 96, 263
-130, 32, 284
-130, 32, 284
-160, 108, 212
-209, 181, 190
-254, 99, 151
-266, -96, 65
-321, -241, 170
-321, -241, 170
-306, -152, 322
-263, 0, 371
-247, -35, 427
-284, -201, 498
-330, -311, 568
-345, -288, 635
-371, -259, 691
-366, -315, 802
-366, -315, 802
-308, -356, 781
-284, -438, 799
-249, -483, 992
-237, -562, 1134
-154, -597, 1069
-101, -584, 993
-34, -526, 1110
48, -362, 1474
106, -212, 1760
130, -152, 1834
142, -177, 1840
190, -197, 1892
190, -197, 1892
217, -194, 1932
164, -263, 1868
-,-,-
-147, -194, 1239
-214, -348, 1484
-199, -386, 1518
-132, -292, 1262
-156, -393, 1424
-157, -467, 1688
-54, -395, 1699
-24, -367, 1515
-33, -424, 1518
27, -383, 1568
74, -278, 1556
101, -127, 1450
141, -41, 1251
172, -148, 1189
172, -148, 1189
169, -293, 1187
142, -273, 1060
146, -180, 934
147, -90, 862
128, -78, 896
174, 29, 783
174, 29, 783
179, 53, 600
122, 4, 569
81, 23, 566
81, 23, 566
38, 65, 558
6, 83, 509
6, 83, 509
-36, 56, 429
-102, -10, 298
-125, -38, 236
-132, 57, 259
-132, 57, 259
-197, 131, 222
-305, 35, 250
-345, -17, 164
-332, -7, 206
-324, 29, 136
-324, 29, 136
-394, 88, 198
-458, -8, 304
-453, -109, 304
-410, -182, 371
-414, -214, 442
-449, -238, 526
